<TICKER>,<PER>,<DATE>,<TIME>,<LAST>,<VOL>
HPQ,0,20121115,093005,13.14000,100
HPQ,0,20121115,093022,13.16000,500
HPQ,0,20121115,093024,13.14000,300
HPQ,0,20121115,093024,13.14000,100
HPQ,0,20121115,093047,13.14000,100
HPQ,0,20121115,093047,13.13000,100
HPQ,0,20121115,093047,13.12000,100
HPQ,0,20121115,093047,13.12000,100
HPQ,0,20121115,093058,13.12000,100
HPQ,0,20121115,093058,13.12000,100
HPQ,0,20121115,093058,13.12000,100
HPQ,0,20121115,093058,13.12000,100
HPQ,0,20121115,093058,13.12000,100
HPQ,0,20121115,093058,13.12000,100
HPQ,0,20121115,093058,13.12000,100
HPQ,0,20121115,093058,13.12000,100
HPQ,0,20121115,093058,13.12000,100
HPQ,0,20121115,093058,13.12000,100
HPQ,0,20121115,093058,13.12000,100
HPQ,0,20121115,093058,13.12000,100
HPQ,0,20121115,093058,13.12000,100
HPQ,0,20121115,093058,13.12000,100
HPQ,0,20121115,093058,13.12000,100
HPQ,0,20121115,093058,13.12000,100
HPQ,0,20121115,093058,13.12000,100
HPQ,0,20121115,093058,13.12000,100
HPQ,0,20121115,093058,13.12000,100
HPQ,0,20121115,093058,13.12000,100
HPQ,0,20121115,093058,13.12000,100
HPQ,0,20121115,093058,13.12000,100
HPQ,0,20121115,093058,13.12000,100
HPQ,0,20121115,093058,13.12000,100
HPQ,0,20121115,093058,13.12000,100
HPQ,0,20121115,093058,13.12000,100
HPQ,0,20121115,093058,13.12000,100
HPQ,0,20121115,093058,13.12000,100
HPQ,0,20121115,093058,13.12000,100
HPQ,0,20121115,093058,13.12000,100
HPQ,0,20121115,093058,13.12000,100
HPQ,0,20121115,093205,13.13000,100
HPQ,0,20121115,093208,13.13000,100
HPQ,0,20121115,093234,13.13000,100
HPQ,0,20121115,093241,13.13000,100
HPQ,0,20121115,093241,13.13000,100
HPQ,0,20121115,093241,13.13000,100
HPQ,0,20121115,093247,13.13000,120
HPQ,0,20121115,093331,13.13000,300
HPQ,0,20121115,093340,13.12000,250
HPQ,0,20121115,093340,13.12000,100
HPQ,0,20121115,093340,13.12000,150
HPQ,0,20121115,093347,13.12000,100
HPQ,0,20121115,093347,13.12000,100
HPQ,0,20121115,093404,13.12000,100
HPQ,0,20121115,093404,13.12000,100
HPQ,0,20121115,093404,13.12000,100
HPQ,0,20121115,093404,13.12000,100
HPQ,0,20121115,093404,13.12000,100
HPQ,0,20121115,093404,13.12000,100
HPQ,0,20121115,093404,13.12000,100
HPQ,0,20121115,093404,13.12000,100
HPQ,0,20121115,093404,13.12000,100
HPQ,0,20121115,093404,13.12000,100
HPQ,0,20121115,093404,13.12000,100
HPQ,0,20121115,093405,13.12000,100
HPQ,0,20121115,093405,13.12000,100
HPQ,0,20121115,093420,13.11000,1000
HPQ,0,20121115,093420,13.11000,300
HPQ,0,20121115,093420,13.11000,100
HPQ,0,20121115,093420,13.11000,365
HPQ,0,20121115,093420,13.11000,100
HPQ,0,20121115,093420,13.11000,700
HPQ,0,20121115,093420,13.11000,100
HPQ,0,20121115,093420,13.11000,100
HPQ,0,20121115,093420,13.11000,139
HPQ,0,20121115,093429,13.11000,100
HPQ,0,20121115,093440,13.11000,100
HPQ,0,20121115,093440,13.11000,100
HPQ,0,20121115,093440,13.11000,100
HPQ,0,20121115,093440,13.11000,100
HPQ,0,20121115,093440,13.11000,100
HPQ,0,20121115,093441,13.12500,100
HPQ,0,20121115,093449,13.11000,300
HPQ,0,20121115,093500,13.11000,100
HPQ,0,20121115,093500,13.11000,100
HPQ,0,20121115,093500,13.13000,300
HPQ,0,20121115,093504,13.12000,800
HPQ,0,20121115,093504,13.12000,200
HPQ,0,20121115,093504,13.12000,200
HPQ,0,20121115,093504,13.12000,100
HPQ,0,20121115,093504,13.12000,100
HPQ,0,20121115,093504,13.12000,100
HPQ,0,20121115,093504,13.12000,100
HPQ,0,20121115,093504,13.12000,100
HPQ,0,20121115,093504,13.12000,100
HPQ,0,20121115,093504,13.12000,100
HPQ,0,20121115,093504,13.12000,100
HPQ,0,20121115,093504,13.12000,200
HPQ,0,20121115,093506,13.11000,200
HPQ,0,20121115,093541,13.12000,200
HPQ,0,20121115,093541,13.12000,200
HPQ,0,20121115,093541,13.12000,100
